I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-53, -34, 19, 43, -36, -7, 34, 9, -63, 14, 19, 14, 
-58, -34, 24, 46, -41, -4, 34, 9, -63, 14, 24, 9, 
-53, -39, 14, 46, -34, -12, 34, 4, -68, 14, 24, 9, 
-58, -39, 19, 48, -39, -9, 34, 4, -68, 14, 24, 9, 
-58, -43, 14, 51, -36, -14, 34, 4, -68, 14, 24, 9, 
-58, -48, 9, 53, -34, -19, 34, 0, -68, 14, 19, 9, 
-58, -48, 9, 53, -34, -19, 34, 0, -73, 19, 24, 9, 
-58, -48, 9, 53, -34, -19, 34, 0, -73, 19, 24, 9, 
-58, -48, 9, 53, -34, -19, 29, 0, -73, 14, 19, 4, 
-58, -48, 9, 53, -34, -19, 29, 0, -73, 9, 19, 9, 
-58, -48, 9, 53, -34, -19, 29, 4, -68, 14, 19, 9, 
-58, -48, 9, 53, -34, -19, 29, 4, -68, 14, 19, 9, 
-58, -43, 14, 51, -36, -14, 29, 4, -68, 19, 24, 9, 
-58, -39, 19, 48, -39, -9, 29, 4, -68, 19, 24, 14, 
-58, -39, 19, 48, -39, -9, 29, 9, -63, 24, 29, 19, 
-58, -34, 24, 46, -41, -4, 29, 9, -63, 29, 29, 19, 
-58, -29, 29, 43, -43, 0, 29, 9, -63, 34, 29, 19, 
-58, -29, 29, 43, -43, 0, 29, 9, -63, 34, 29, 19, 
-58, -29, 29, 43, -43, 0, 29, 9, -63, 34, 29, 19, 
-53, -34, 19, 43, -36, -7, 29, 4, -63, 34, 29, 19, 
-53, -39, 14, 46, -34, -12, 29, 4, -68, 34, 29, 19, 
-53, -43, 9, 48, -31, -17, 24, 0, -68, 34, 29, 14, 
-48, -53, -4, 51, -21, -29, 24, -9, -73, 29, 24, 14, 
-48, -58, -9, 53, -19, -34, 24, -9, -78, 29, 24, 9, 
-53, -63, -9, 58, -21, -36, 19, -14, -82, 24, 19, 9, 
-48, -68, -19, 58, -14, -43, 19, -14, -87, 14, 19, 4, 
-53, -78, -24, 65, -14, -51, 24, -14, -92, 14, 14, 4, 
-58, -87, -29, 73, -14, -58, 19, -14, -97, 9, 9, 0, 
-58, -92, -34, 75, -12, -63, 19, -14, -97, 4, 9, 0, 
-58, -97, -39, 78, -9, -68, 19, -14, -97, 4, 9, 0, 
-58, -97, -39, 78, -9, -68, 19, -9, -102, 9, 9, 0, 
-58, -97, -39, 78, -9, -68, 19, -9, -102, 9, 14, 0, 
-63, -92, -29, 78, -17, -61, 19, 0, -107, 14, 14, 4, 
-63, -87, -24, 75, -19, -56, 19, 0, -107, 19, 19, 4, 
-68, -87, -19, 78, -24, -53, 24, 0, -112, 19, 24, 4, 
-68, -87, -19, 78, -24, -53, 24, 4, -112, 24, 24, 9, 
-68, -82, -14, 75, -26, -48, 24, 4, -117, 24, 29, 9, 
-68, -78, -9, 73, -29, -43, 24, 4, -122, 29, 29, 9, 
-68, -78, -9, 73, -29, -43, 24, 4, -126, 29, 34, 9, 
-68, -73, -4, 70, -31, -39, 24, 0, -131, 34, 39, 9, 
-68, -68, 0, 68, -34, -34, 29, 0, -131, 34, 39, 9, 
-68, -63, 4, 65, -36, -29, 24, 4, -141, 34, 39, 4, 
-68, -63, 4, 65, -36, -29, 24, 4, -146, 29, 39, 4, 
-68, -63, 4, 65, -36, -29, 24, 4, -151, 29, 39, 4, 
-68, -63, 4, 65, -36, -29, 24, 4, -156, 29, 39, 4, 
-63, -63, 0, 63, -31, -31, 24, 0, -156, 34, 39, 9, 
-63, -58, 4, 61, -34, -26, 24, 0, -161, 34, 39, 9, 
-63, -58, 4, 61, -34, -26, 24, 0, -161, 34, 39, 9, 
-63, -58, 4, 61, -34, -26, 24, 4, -165, 34, 39, 14, 
-63, -58, 4, 61, -34, -26, 24, 4, -165, 34, 39, 14, 
-58, -58, 0, 58, -29, -29, 24, 4, -165, 34, 39, 14, 
-53, -58, -4, 56, -24, -31, 24, 0, -165, 34, 39, 19, 
-53, -63, -9, 58, -21, -36, 24, 0, -165, 39, 39, 19, 
-53, -63, -9, 58, -21, -36, 24, 0, -165, 39, 43, 24, 
-58, -68, -9, 63, -24, -39, 24, 0, -161, 39, 43, 24, 
-58, -68, -9, 63, -24, -39, 24, 0, -161, 39, 43, 24, 
-58, -68, -9, 63, -24, -39, 24, -9, -156, 43, 43, 24, 
-58, -68, -9, 63, -24, -39, 24, -9, -151, 43, 43, 24, 
-58, -68, -9, 63, -24, -39, 24, 0, -146, 48, 48, 29, 
-53, -68, -14, 61, -19, -41, 24, 0, -141, 48, 48, 29, 
-53, -68, -14, 61, -19, -41, 24, 0, -136, 43, 48, 29, 
-53, -63, -9, 58, -21, -36, 29, 0, -131, 48, 48, 29, 
-53, -63, -9, 58, -21, -36, 29, 4, -126, 48, 48, 29, 
-53, -63, -9, 58, -21, -36, 29, 4, -126, 48, 48, 29, 
-53, -63, -9, 58, -21, -36, 34, 4, -122, 48, 48, 29, 
-48, -58, -9, 53, -19, -34, 34, 4, -122, 48, 48, 24, 
-48, -58, -9, 53, -19, -34, 34, 4, -117, 53, 48, 24, 
-48, -58, -9, 53, -19, -34, 39, 4, -117, 53, 48, 19, 
-48, -58, -9, 53, -19, -34, 39, 4, -112, 53, 48, 19, 
-53, -58, -4, 56, -24, -31, 39, 4, -112, 53, 48, 19, 
-53, -58, -4, 56, -24, -31, 39, 0, -102, 53, 48, 19, 
-53, -58, -4, 56, -24, -31, 39, 0, -97, 53, 48, 19, 
-53, -58, -4, 56, -24, -31, 39, -9, -97, 53, 53, 19, 
-53, -58, -4, 56, -24, -31, 34, -9, -92, 53, 48, 19, 
-53, -58, -4, 56, -24, -31, 34, -14, -92, 53, 48, 14, 
-53, -53, 0, 53, -26, -26, 34, -14, -87, 48, 48, 14, 
-48, -48, 0, 48, -24, -24, 29, -14, -87, 48, 48, 14, 
-48, -48, 0, 48, -24, -24, 29, -14, -82, 48, 48, 14, 
-48, -48, 0, 48, -24, -24, 29, -14, -82, 48, 48, 9, 
-48, -43, 4, 46, -26, -19, 29, -14, -78, 48, 48, 9, 
-43, -43, 0, 43, -21, -21, 29, -14, -78, 48, 48, 9, 
-43, -43, 0, 43, -21, -21, 29, -9, -78, 48, 43, 9, 
-39, -43, -4, 41, -17, -24, 29, -9, -78, 48, 43, 9, 
-39, -43, -4, 41, -17, -24, 29, -9, -78, 48, 39, 4, 
-39, -43, -4, 41, -17, -24, 29, -9, -78, 48, 39, 4, 
-39, -43, -4, 41, -17, -24, 29, -9, -73, 48, 39, 4, 
-39, -48, -9, 43, -14, -29, 29, -14, -73, 48, 39, 4, 
-39, -48, -9, 43, -14, -29, 29, -14, -73, 53, 39, 4, 
-48, -53, -4, 51, -21, -29, 29, -14, -73, 53, 39, 4, 
-53, -58, -4, 56, -24, -31, 34, -14, -73, 53, 39, 9, 
-53, -58, -4, 56, -24, -31, 34, -14, -73, 53, 39, 9, 
-53, -58, -4, 56, -24, -31, 34, -14, -73, 53, 39, 9, 
-48, -58, -9, 53, -19, -34, 29, -19, -73, 53, 34, 9, 
-48, -63, -14, 56, -17, -39, 29, -19, -78, 53, 34, 9, 
-48, -63, -14, 56, -17, -39, 29, -19, -78, 48, 34, 9, 
-48, -68, -19, 58, -14, -43, 29, -19, -78, 48, 29, 4, 
-48, -68, -19, 58, -14, -43, 29, -19, -78, 48, 29, 4, 
-43, -68, -24, 56, -9, -46, 29, -19, -78, 48, 29, 4, 
-43, -68, -24, 56, -9, -46, 24, -19, -78, 48, 24, 4, 
-39, -63, -24, 51, -7, -43, 24, -19, -82, 43, 24, 0, 
-34, -63, -29, 48, -2, -46, 24, -19, -82, 39, 19, 0, 
-34, -63, -29, 48, -2, -46, 24, -24, -82, 39, 19, -9, 
-34, -63, -29, 48, -2, -46, 24, -19, -87, 39, 14, -9, 
-39, -68, -29, 53, -4, -48, 24, -19, -87, 39, 14, -9, 
-39, -63, -24, 51, -7, -43, 24, -19, -82, 43, 19, -9, 
-39, -58, -19, 48, -9, -39, 29, -19, -82, 43, 19, -9, 
-34, -53, -19, 43, -7, -36, 29, -19, -82, 48, 19, 0, 
-34, -48, -14, 41, -9, -31, 29, -19, -82, 48, 19, 0, 
-34, -48, -14, 41, -9, -31, 29, -19, -82, 48, 19, 0, 
-34, -48, -14, 41, -9, -31, 24, -24, -87, 48, 19, 0, 
-39, -53, -14, 46, -12, -34, 24, -19, -87, 48, 19, 0, 
-39, -53, -14, 46, -12, -34, 24, -19, -87, 48, 19, 0, 
-39, -53, -14, 46, -12, -34, 24, -19, -87, 48, 14, -9, 
-39, -53, -14, 46, -12, -34, 24, -19, -87, 48, 14, 0, 
-34, -53, -19, 43, -7, -36, 24, -19, -87, 53, 14, 0, 
-34, -53, -19, 43, -7, -36, 24, -19, -92, 53, 14, 0, 
